species,morph_SVL,morph_head_width,morph_head_length,morph_sex,morph_hind_leg_length,number_pores_males,trunk_length,trunk_width,foreleg_length,femur_length,head_depth,snout_length,snout_depth,naris_to_eye,eye_to_ear,internarial_dist,interorbital_dist,orbit_length,rostral_scale_height,rostral_scale_width,supralabial_scales,infralabial_scales,internarial_scales,tail_length,tail_depth,tail_width,age,toe_length,number_toe_lamellae,division_type,number_finger_lamellae
Gehyra nana,47.26,10,10,F,6.89,,18.15,,4.25,6,4.51,4.65,,3,3.09,1.53,3.41,2.14,0.96,1.77,7,6,,,,,,,7,,6
Gehyra nana,46.46,9,10,F,7.79,,16.23,,4.37,7,3.5,5.22,,4,3.62,2.26,4.31,2.46,0.87,1.39,8,8,,,,,,,6,,5
Gehyra nana,51.01,10,12,M,6.84,15,20.17,,5.52,6,4.38,5.19,,4,3.79,1.17,3.28,2.07,0.89,1.69,9,8,1,,,,,,5,,5
Gehyra nana,43.11,9,11,M,6.01,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,46.28,9,12,F,6.86,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,49.76,10,12,F,7.14,,,,,7,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,48.05,11,12,F,7.73,,17.69,,5.75,7,4.45,4.4,,3,3.38,1.55,3.41,2.58,0.82,1.75,8,7,,,,,,,6,,5
Gehyra nana,36.52,8,11,M,5.71,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.59,9,10,F,5.7,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,39.31,8,9,J,6.15,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,47.09,10,11,F,6.19,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,44.86,11,12,F,6.58,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,40.81,10,11,M,5.81,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,45.12,8,11,F,6.03,,18.05,,5.22,6,4.16,4.9,,4,3.35,1.5,3.55,2.39,1.13,1.54,8,8,1,,,,,,6,,5
Gehyra nana,31.85,6,8,J,5.29,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,36.13,7,9,F,2.91,,12.07,,3.16,2,3.71,4.22,,3,2.9,1.2,2.99,2.58,0.91,1.48,7,7,,,,,,,7,,6
Gehyra nana,35.47,7,9,F,3.83,,12.26,,4.07,3,4.13,4.45,,3,2.54,0.85,3.04,2.75,0.79,1.7,,,,,,,,,6,,6
Gehyra nana,41.86,7,8,M,4.39,16,17.05,,3.8,4,4.44,4.19,,3,2.73,1.02,2.92,2.24,0.89,1.6,9,8,,,,,,,6,,5
Gehyra nana,41.9,8,11,M,3.92,12,16.46,,4.5,3,4.33,4.4,,3,2.8,1.15,2.83,2.6,0.8,1.5,8,8,,,,,,,6,,6
Gehyra nana,43.34,8,9,F,6.72,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.11,9,9,F,7.17,,,,,7,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,37.89,7,10,M,5.36,15,16.13,,4.83,5,3.61,4.25,,3,2.85,1.08,3.23,2.41,0.92,1.37,8,7,1,,,,,,6,,5
Gehyra nana,41.31,8,11,F,5.19,,17.11,,3.89,5,4.37,4.51,,3,2.63,1.38,3.06,2.74,1.12,1.47,8,8,,,,,,,6,,6
Gehyra nana,41.27,8,10,F,5.34,,14.8,,4.26,5,4.57,4.49,,3,2.68,1.59,3.06,2.73,0.97,1.74,8,6,1,,,,,,6,,6
Gehyra nana,39.96,8,10,M,6.15,16,13.75,,4.53,6,4.95,4.42,,3,2.8,1.28,3.09,2.31,1.1,1.54,8,8,1,,,,,,6,,6
Gehyra nana,40.16,8,10,M,4.61,14,14.94,,3.67,4,4.71,4.59,,3,2.82,1.17,2.58,2.34,1.24,1.43,8,8,,,,,,,6,,5
Gehyra nana,40.415,8,10,M,5.185,17,15.285,8.21,4.895,5,4.82,4.315,3,3,3.15,1.25,3.16,2.44,1.06,1.7,8,8,,,,,,,6,,5
Gehyra nana,38.865,7,10,M,5.08,11,16.52,7.61,4.43,5,4.48,3.935,3,3,2.85,1.27,2.76,2.29,1.05,1.61,9,8,,,,,,,6,,5
Gehyra nana,40.92,8,10,M,5.09,14,15.14,,4.75,5,4.39,4.71,,3,3.44,1.54,3.24,2.51,1.18,1.71,8,7,1,,,,,,6,,5
Gehyra nana,37.75,8,8,F,4.3,,15.85,,3.58,4,4.02,3.92,,3,2.78,1.04,3.23,1.95,1,1.53,9,8,1,,,,,,6,,5
Gehyra nana,34.995,7,9,M,4.175,13,14.61,6.95,4.22,4,4.175,3.7,3,2,2.37,1.23,2.77,1.98,1.11,1.5,8,8,,,,,,,6,,5
Gehyra nana,40.71,8,10,F,5.2,,16.02,,3.98,5,4.03,4.3,,3,2.66,1.27,2.69,2.32,1.07,1.97,8,7,,,,,,,6,,5
Gehyra nana,36.37,7,9,F,4.27,,16.41,,3.94,4,4.16,4.21,,3,2.96,1.33,2.67,2.12,0.83,1.34,8,7,,,,,,,6,,5
Gehyra nana,40,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,43,8,10,F,6.6,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,36.72,8,9,F,4.27,,15.45,,4.35,4,4.26,4.5,,3,2.56,1.17,2.91,1.88,1,1.48,,,,,,,,,6,,5
Gehyra nana,41.14,8,9,F,4.11,,17.68,,4.49,4,3.85,4.37,,3,2.9,1.14,3.38,2.15,0.97,1.47,,,,,,,,,5,,5
Gehyra nana,37.91,7,9,M,5.16,15,16.65,,4.43,5,4.18,4.79,,3,3.09,1.2,3.54,2.37,0.81,1.35,,,,,,,,,6,,6
Gehyra nana,39.38,7,9,F,4.37,,18.44,,5.45,4,5.03,4.41,,3,3.26,0.9,3.25,2.4,0.73,1.64,,,,,,,,,6,,5
Gehyra nana,41.17,8,9,F,4.64,,16.74,,5.22,4,3.97,4.95,,3,3.08,1.23,2.76,2.14,0.84,1.7,,,,,,,,,6,,6
Gehyra nana,37.25,7,9,M,5.23,12,14.95,,4.52,5,4.31,4.26,,3,2.75,0.85,3.07,2.32,0.88,1.47,,,,,,,,,6,,5
Gehyra nana,40.86,7,10,F,5.43,,15.45,,5.02,5,3.77,3.86,,3,3.71,1.37,3.57,2.29,0.7,1.67,8,8,1,,,,,,6,,6
Gehyra nana,37.27,8,9,F,4.48,,13.98,,4.68,4,3.93,4.18,,3,3.09,1.27,3.21,2.09,0.86,1.51,7,8,1,,,,,,5,,5
Gehyra nana,44.06,9,11,M,6.235,15,17.89,8.66,5.73,6,4.155,4.585,3,3,3.86,1.45,5.09,2.24,0.99,1.55,9,8,,,,,,,6,,5
Gehyra nana,40.74,9,11,J,5.63,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,36.72,8,9,J,5.18,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.92,8,10,F,5.82,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,40.71,8,10,F,4.75,,12.98,,4.44,4,3.97,4.41,,3,2.94,1.21,2.93,2.04,0.99,1.44,7,7,,,,,,,6,,6
Gehyra nana,34.51,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,42,7,11,F,6.03,,19.52,,5.1,6,3.99,4.05,,3,3.17,1.24,3.69,1.56,0.86,1.39,7,7,,,,,,,6,,5
Gehyra nana,32.68,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,40.06,7,10,M,5.37,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,47,9,11,M,6.27,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,33.42,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,42.08,8,10,F,5.53,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,39.92,8,9,F,5.2,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.6,7,10,F,5.79,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.95,8,10,M,5.195,13,16.81,8.35,4.905,5,4.465,4.27,3,3,2.9,1.49,3.48,2.65,0.94,1.65,8,8,1,,,,,,6,,6
Gehyra nana,43.4,8,10,F,5.04,,15.9,,4.43,5,4.14,4.72,,3,2.94,1.32,2.9,2.56,0.89,1.64,8,8,,,,,,,7,,6
Gehyra nana,37.73,8,10,,4.41,,,,,4,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.065,8,10,M,5.57,16,15.95,7.82,4.975,5,4.315,4.205,3,3,2.88,1.49,2.88,2.56,0.91,1.6,8,7,1,,,,,,7,,6
Gehyra nana,43.5,8,11,F,5.525,,17.12,8.12,5.16,5,4.42,4.495,3,3,2.94,1.33,2.92,2.63,0.92,1.68,8,8,1,,,,,,6,,5
Gehyra nana,33.79,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,36.89,9,11,F,5.35,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,40.81,8,10,M,3.8,14,16.94,,4.28,3,4.2,4.49,,3,3,1.27,3.07,2.56,1.03,1.73,8,8,1,,,,,,6,,6
Gehyra nana,42.34,9,10,M,4.27,12,18.17,,3.89,4,3.78,4.22,,3,3.08,1.27,2.86,2.48,1.04,1.45,9,9,1,,,,,,6,,6
Gehyra nana,44.055,8,10,M,5.185,12,16.815,8.51,4.78,5,4.46,4.395,3,3,3.48,1.5,2.7,2.49,0.94,1.57,9,8,1,,,,,,6,,5
Gehyra nana,41.17,7,10,M,5.62,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.54,8,10,M,4.84,14,16.68,,4.27,4,4.11,4.42,,3,3.23,1.23,2.6,2.21,1.06,1.53,9,8,1,,,,,,6,,5
Gehyra nana,33.4,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,36.98,7,9,M,4.24,14,14.225,6.95,4.4,4,4.22,3.95,2,3,2.68,1.38,2.87,2.53,0.97,1.63,8,7,1,,,,,,7,,6
Gehyra nana,42.16,8,10,F,4.5,,16.39,,3.74,4,4.76,4.57,,3,2.95,1.22,3.12,2.65,1.34,1.48,8,7,1,,,,,,6,,5
Gehyra nana,41.43,8,10,F,4.84,,15.46,,3.94,4,4.34,4.32,,3,2.71,1.38,2.52,2.64,0.88,1.39,10,9,1,,,,,,6,,5
Gehyra nana,28,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,40.33,8,11,F,4.85,,16.54,,3.61,4,4.86,4.53,,3,3.02,1.58,2.85,2.67,1.16,1.73,8,7,,,,,,,6,,5
Gehyra nana,39.66,9,10,M,4.59,14,17.51,,4.37,4,4.89,4.37,,3,3.33,1.37,2.69,2.38,1.08,1.6,8,7,1,,,,,,6,,6
Gehyra nana,33.62,7,9,F,3.88,,13.95,,3.61,3,4.12,3.87,,3,2.74,1.37,2.83,2.35,0.87,1.35,9,8,,,,,,,6,,5
Gehyra nana,36.09,8,9,F,4.01,,11.98,,3.72,4,4.43,4.83,,3,2.51,1.43,2.9,2.4,0.94,1.58,8,8,,,,,,,6,,5
Gehyra nana,36.83,8,10,M,4.75,15,16.36,,4.3,4,4.65,4.55,,3,2.79,1.43,3.23,2.17,1.05,1.71,8,7,,,,,,,5,,5
Gehyra nana,42.07,8,10,F,5.92,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,34.72,5,8,J,5.75,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,37.19,7,9,F,4.59,,14.93,,3.97,4,4.4,4.38,,3,2.83,1.46,3.2,2,0.93,1.41,7,7,,,,,,,6,,6
Gehyra nana,46.69,9,11,F,6.61,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,40.895,8,10,M,4.115,15,15.615,7.42,4.735,4,4.385,4.24,3,3,3.08,1.34,2.63,2.47,0.97,1.53,7,7,1,,,,,,6,,5
Gehyra nana,27.6,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,44,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,53.39,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,51.96,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,43.57,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,37.25,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,34.14,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,44.08,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.42,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,43.65,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,45.72,10,11,M,5.52,13,18.96,,4.78,5,4.94,4.99,,4,3.74,1.63,3.58,2.92,1.11,1.88,9,8,1,,,,,,6,,6
Gehyra nana,45.13,9,12,F,6.89,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.6,7,9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,43.18,8,11,F,5.6,,14.64,,5.48,5,4.2,4.59,,3,2.95,1.33,3.28,2.67,1.04,1.7,8,7,,,,,,,6,,5
Gehyra nana,46.63,9,10,F,6,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.66,9,12,M,4.88,,,,,4,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,43.25,8,11,F,6.97,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,45,9,11,,6.5,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,45.8,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,47.5,10,11,M,5.7,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,37,8,10,,5.3,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,50.47,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,46.41,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,47.65,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,45.67,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,47.79,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,39.52,8,10,F,3.75,,14.2,,4.91,3,3.77,4.66,,3,2.79,1.16,2.5,2.32,0.79,1.62,9,8,,,,,,,7,,6
Gehyra nana,46.99,10,12,M,5.785,17,17.65,9.09,5.58,5,4.95,5.235,3,4,3.51,1.38,3.41,2.73,1.1,1.97,8,8,,,,,,2.92,7,,6
Gehyra nana,46.655,9,11,F,5.445,,18.66,8.56,5.705,5,5.17,4.86,3,4,3.82,1.55,2.92,2.96,0.89,1.83,8,7,1,,,,,3.22,7,,6
Gehyra nana,47.03,9,12,F,5.6,,20.46,,5.94,5,5.68,5.71,,4,3.59,1.52,3.55,3.09,1.01,1.84,9,8,,,,,,,6,,6
Gehyra nana,44.72,9,11,F,4.28,,19.61,,4.49,4,4.81,4.96,,3,2.95,1.25,2.91,3.02,1.13,1.58,8,9,1,,,,,,7,,6
Gehyra nana,46.47,9,12,M,5.36,16,17.95,,5.08,5,5.42,5.23,,4,3.44,1.66,3.67,3.12,1.19,1.73,9,8,,,,,,,6,,6
Gehyra nana,46.3,9,11,F,5.42,,18.89,,5.21,5,5.05,5.02,,3,3.85,1.63,3.8,2.73,1.28,1.83,8,9,,,,,,,6,,6
Gehyra nana,39.05,8,9,F,5.38,,15.15,,3.48,5,3.76,4.86,,3,3.08,0.9,4.24,2.16,0.98,1.59,9,8,1,,,,,,5,,5
Gehyra nana,42.18,8,10,M,4.035,12,15.72,8.14,4.775,4,4.035,4.385,3,3,2.87,1.44,3.27,2.65,1.13,1.76,7,6,,,,,,3.07,7,,6
Gehyra nana,45.125,9,11,M,5.255,16,18.965,9.03,4.725,5,5.325,4.775,4,3,3.49,1.51,3.16,2.77,1.09,1.54,7,7,1,,,,,2.72,6,,6
Gehyra nana,40.03,9,10,M,4.62,11,16.75,,4.72,4,4.86,4.5,,3,3.36,1.34,3.72,2.34,1.04,1.61,8,8,,,,,,,7,,6
Gehyra nana,41.91,9,11,M,5.07,14,16.21,,4.59,5,4.95,4.72,,3,3.3,1.69,3.16,2.84,1.01,1.82,8,8,1,,,,,,7,,6
Gehyra nana,35.64,7,8,F,3.56,,13.59,,3.71,3,3.96,4.04,,3,2.49,1.35,3.15,2.35,0.77,1.45,9,7,1,,,,,,7,,6
Gehyra nana,33.05,7,8,J,5.29,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,42.86,8,10,F,3.85,,16.71,,4.89,3,4.32,4.62,,3,2.8,1.46,3,2.22,0.95,1.68,8,8,1,,,,,,6,,5
Gehyra nana,44.82,9,11,M,4.46,12,17.44,,3.75,4,4.37,4.64,,3,3.01,1.41,3.28,2.35,0.92,1.79,8,8,,,,,,,6,,5
Gehyra nana,43.55,10,11,M,4.22,14,16.9,,4.85,4,4.72,5.1,,3,3.49,1.4,2.61,2.88,1.11,1.94,9,8,1,,,,,,6,,6
Gehyra nana,44.22,9,12,F,4.48,,16.49,,4.49,4,4.33,4.58,,3,3.14,1.44,3.38,2.86,1.1,1.73,8,8,1,,,,,,6,,6
Gehyra nana,45.07,9,12,F,4.01,,17.42,,4.94,4,4.76,4.83,,3,2.78,1.47,3,2.9,1.06,1.75,8,9,1,,,,,,6,,6
Gehyra nana,51.57,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,49.77,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,40.94,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,45.9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.46,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,44.93,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,39.86,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,45.14,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,45.23,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,52.16,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,34.47,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,55.6,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,54.97,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,38.9,8,9,F,4.31,,14.15,,4.47,4,4.6,4.31,,3,3.14,1.31,3.5,2.66,1.01,1.9,8,8,,,,,,,6,,6
Gehyra nana,45.07,10,11,F,6.01,,19.87,9.49,5.54,6,5.13,4.74,3,3,3.34,1.69,3.89,2.86,1.05,2,9,8,,,,,,2.87,7,,6
Gehyra nana,40.19,8,10,M,5.11,15,13.49,,4.12,5,4.19,4.34,,3,2.61,1.46,2.95,2.6,1.14,1.85,9,7,,,,,,,6,,6
Gehyra nana,39.23,8,9,M,4.65,15,16.26,,4.68,4,4.08,3.9,,3,3.05,1.09,2.43,2.5,0.82,1.37,7,8,,,,,,,6,,6
Gehyra nana,43.415,9,10,F,5.22,,17.24,8.72,5.015,5,4.505,4.335,3,3,3.25,1.59,3.3,2.73,1.13,1.67,8,7,,,,,,2.64,7,,6
Gehyra nana,39.76,8,10,M,5.05,21,17.2,,4.5,5,3.78,4.61,,3,2.5,1.63,3.01,2.81,1.07,1.49,7,7,1,,,,,,6,,
Gehyra nana,39.91,8,9,M,4.69,16,15.04,,4.95,4,4.84,4.07,,3,2.81,1.23,2.44,2.69,0.85,1.65,8,8,,,,,,,7,,6
Gehyra nana,35.02,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,37.59,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,43.03,8,10,M,5.45,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,44.7,8,10,M,5.98,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.74,8,10,F,5.24,,18.57,,4.32,5,4.47,4.86,,3,3.14,1.17,2.98,2.55,0.88,1.44,8,7,1,,,,,,6,,5
Gehyra nana,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,36.15,7,9,M,5.26,15,12.81,,4.6,5,3.89,4.67,,3,2.44,1.13,4.55,2.15,0.75,1.37,9,9,1,,,,,,6,,5
Gehyra nana,41.95,9,11,F,4.62,,16.59,7.95,4.87,4,4.725,4.745,3,3,3.21,1.48,3.06,2.64,1.03,1.82,8,8,,,,,,2.94,7,,6
Gehyra nana,39.83,8,10,F,4.72,,14.7,,4.72,4,5.03,4.5,,3,2.89,1.26,3.06,2.42,0.95,1.49,9,8,,,,,,,7,,6
Gehyra nana,35.66,8,8,M,3.95,,,,,3,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,45.26,10,11,M,5.22,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,37.05,7,11,M,5.29,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,45.59,9,11,M,6.59,16,16.88,,5.19,6,5.28,5.33,,4,3.95,1.34,4.94,2.71,1.03,1.64,8,9,,,,,,,6,,6
Gehyra nana,44.23,9,12,F,6.54,,17.81,,4.66,6,4.86,5.74,,4,3.77,0.78,4.14,2.47,0.84,1.8,9,8,,,,,,,6,,6
Gehyra nana,44.485,8,11,F,4.99,,18.545,8.93,5.145,4,4.895,4.175,3,3,3.11,1.65,2.78,2.76,1.16,1.77,8,8,,,,,,2.88,6,,6
Gehyra nana,49.85,10,12,F,6.74,,20.28,,6.12,6,5.84,5.41,,4,4.19,1.62,4.02,3.14,1.13,1.9,9,6,,,,,,,6,,6
Gehyra nana,43.65,9,12,M,6.01,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,52.52,10,13,M,7.005,17,19.845,9.64,5.63,7,4.77,5.515,3,4,4.56,1.48,4.94,2.36,1.33,1.81,9,8,,,,,,3.68,7,,6
Gehyra nana,42.145,8,10,M,5.15,17,15.99,7.61,4.245,5,4.645,4.69,3,4,3.16,1.56,4.22,2.52,,,,,,,,,,2.44,6,,5
Gehyra nana,37.15,7,10,F,4.17,,,,,4,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,43.34,9,10,M,5.07,15,18.27,,4.32,5,5.03,4.46,,3,3.8,1.43,4.1,2.68,1.08,1.62,7,7,1,,,,,,7,,6
Gehyra nana,38.81,8,10,F,4.66,,16.31,,3.97,4,4.39,4.21,,3,2.93,1.47,3.28,2.58,0.95,1.66,8,7,1,,,,,,6,,6
Gehyra nana,47.07,9,9,M,3.98,16,18.34,,4.02,3,4.77,4.61,,3,2.56,1.63,3.66,2.87,1.2,1.68,8,7,1,,,,,,6,,5
Gehyra nana,48.87,10,13,M,6.225,18,18.39,9.41,4.815,6,5.3,5.26,3,4,3.34,1.64,3.88,3.02,1.04,1.99,9,8,,,,,,,7,,6
Gehyra nana,40.96,8,10,F,6.58,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,39.76,8,10,F,4.97,,,,,4,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,43.87,10,10,F,6.25,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41.15,7,12,F,5.72,,17.27,,4.5,5,3.8,4.53,,3,2.64,1.2,3.1,2.6,0.87,1.53,8,8,1,,,,,,7,,6
Gehyra nana,40.52,7,10,F,6.19,,15.74,,3.86,6,4.19,4.15,,3,3.13,1.21,2.98,2.29,0.99,1.62,8,8,1,,,,,,7,,6
Gehyra nana,48.82,10,12,F,6.035,,18.89,9.49,4.975,6,5.01,5.18,3,4,3.67,1.69,3.2,2.8,1.15,1.99,8,7,1,,,,,,7,,6
Gehyra nana,50.175,9,12,F,6.51,,20.81,9.72,5.055,6,5.035,5.49,3,4,3.57,1.53,2.85,2.94,1.03,2.1,8,7,,,,,,,7,,6
Gehyra nana,49.4,9,11,M,7.19,19,20.85,9.92,5.97,7,5.47,4.85,3,,,,,,,,,,,,,,,,7,,
Gehyra nana,29,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,34,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,50,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,39.49,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,46.64,9,11,F,6.25,,22.82,,5.11,6,5.25,5.1,,3,3.29,1.15,3.62,2.51,1.07,1.6,9,8,,,,,,,7,,7
Gehyra nana,50,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,36,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,44.905,9,11,M,5.355,18,16.795,9.32,4.865,5,4.745,4.76,3,3,3.4,1.41,3.63,2.61,1.01,1.64,7,7,,,,,,,6,,5
Gehyra nana,46.13,10,11,F,5.505,,18.805,9.73,4.855,5,4.17,5.035,3,4,3.47,1.61,3.62,2.7,1.09,1.68,8,6,1,,,,,,6,,6
Gehyra nana,43.81,9,10,M,5.625,16,16.515,9.36,5.19,5,4.15,4.645,3,3,2.8,1.37,3.62,2.66,1.16,1.85,7,7,1,,,,,,6,,6
Gehyra nana,48.24,9,11,M,5,20,23.09,,5.63,5,5.01,5.04,,4,3.69,1.34,3.66,2.74,0.76,1.79,,,,,,,,,6,,6
Gehyra nana,51.07,10,12,M,6.32,20,23.58,,4.71,6,5.46,5.36,,4,3.76,1.78,3.23,3.13,0.93,1.96,8,8,,,,,,,7,,6
Gehyra nana,49.13,9,11,M,5.6,,20.72,,5.53,5,5.97,5.33,,4,3.14,1.29,3.2,2.6,1.13,1.95,8,7,,,,,,,7,,6
Gehyra nana,35.94,8,10,F,5.49,,13.79,,3.92,5,4.52,4.81,,3,2.96,1.1,2.54,2.45,0.86,1.46,8,7,1,,,,,,7,,6
Gehyra nana,42.46,8,9,M,5.9,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,39.33,8,9,M,5.14,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,51.935,9,12,M,6.99,22,21.325,10.03,5.965,6,5,5.33,3,4,3.87,1.81,4.22,2.87,1.36,1.86,9,8,,,,,,,6,,6
Gehyra nana,41.91,7,10,F,7.17,,15.23,,4.17,7,3.12,3.39,,2,2.74,1.28,3.2,2.15,1.05,1.63,8,7,,,,,,,7,,5
Gehyra nana,43.23,6,12,M,5.63,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,50.07,13,7,F,6.42,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,46.46,14,7,M,6.21,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,47.22,10,11,M,5.35,20,19.61,,4.59,5,4.64,5.22,,3,3.12,1.24,3.63,3.06,0.99,1.64,,,,,,,,,7,,6
Gehyra nana,39.7,8,10,F,6.06,,16.12,,4.89,6,4.07,4.42,,3,2.71,1.32,3.3,2.06,1.02,1.62,9,9,1,,,,,,6,,5
Gehyra nana,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra nana,41,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
